"Gene","logFC","logCPM","PValue","FDR"
"GENE037",-9.25783028964567,13.9047840984281,0,0
"GENE045",-9.06233264208734,13.7089220482196,0,0
"GENE075",-8.23753330854244,12.8834443923939,0,0
"GENE041",-8.15526820211548,14.0802944808634,0,0
"GENE033",-8.07179718519983,13.4845411863631,0,0
"GENE059",-8.07179718519983,13.4845411863631,0,0
"GENE072",-8.07179718519983,13.4845411863631,0,0
"GENE026",-8.00499227618833,13.9300571495789,0,0
"GENE068",-7.98310755221078,13.9081799777856,0,0
"GENE052",-7.82098235957603,14.0816357411493,0,0
"GENE063",-7.80968074682262,12.455320153248,0,0
"GENE056",-7.78760990465245,13.712813401,0,0
"GENE030",-7.68858603804176,13.949402805475,0,0
"GENE019",-7.6135751084621,13.5390033649619,0,0
"GENE021",7.57762845137662,13.906764933008,0,0
"GENE074",7.00804090636357,13.9763419160265,0,0
"GENE044",-6.666950485292,13.9167666095115,0,0
"GENE036",-6.65535199288133,13.7206822331753,0,0
"GENE005",-6.63876315764254,12.5682967668363,0,0
"GENE055",6.63302851629964,13.9506559119192,0,0
"GENE032",6.57152466576941,13.8901058700243,0,0
"GENE008",-6.52240963474337,11.9402164790018,0,0
"GENE051",6.44998001675728,13.4258230655678,0,0
"GENE011",6.41570921759565,13.7365383379592,0,0
"GENE065",6.31496433956301,12.6601943671173,0,0
"GENE047",6.19887040466023,14.0182566271441,0,0
"GENE016",-6.03946803831485,13.2948829226209,0,0
"GENE022",-6.01776440558263,13.7722696881922,0,0
"GENE018",5.90600955030783,12.8916132094563,0,0
"GENE062",5.89430401708581,13.0412072511956,0,0
"GENE028",5.88050232821266,13.7059817307922,0,0
"GENE001",5.71995279065854,12.0774783705221,0,0
"GENE058",5.44411512978352,13.5901275452664,0,0
"GENE014",5.33937104246601,13.4880596952439,0,0
"GENE006",5.29276004586175,12.4911050598552,0,0
"GENE012",-5.22800908684604,12.9961252674228,0,0
"GENE025",5.22392835785914,13.9581686729231,0,0
"GENE039",5.20119161236433,13.5460834354144,0,0
"GENE043",5.16137656338342,13.8976064232504,0,0
"GENE003",5.1266921901419,12.9715919908291,0,0
"GENE053",5.08926747616068,13.827813434311,0,0
"GENE035",4.77780385118082,14.0997821644316,0,0
"GENE009",4.55697320618725,13.3154206678253,0,0
"GENE060",4.03853367751222,13.3965161814048,0,0
"GENE049",3.96846598342237,13.7289567058446,0,0
"GENE002",-4.17818323864587,11.4854720110299,4.43410084750283e-207,7.22951225136332e-207
"GENE067",3.43607929571913,12.2658185640371,4.52645863155109e-195,7.22307228439003e-195
"GENE069",3.54421394031885,11.4742766093086,2.51111234720501e-114,3.92361304250782e-114
"GENE071",2.22375149275879,9.83155254808577,8.2717579510049e-34,1.26608540066401e-33
"GENE023",-1.18710488828481,8.33544134519036,1.47439529121492e-10,2.21159293682238e-10
"GENE007",-0.05962079093756,13.5392647022738,0.00360043584268455,0.00529475859218316
"GENE027",-0.0392307995656798,13.8733545069466,0.0324563099167596,0.0459287404482447
"GENE061",-0.0392307995656798,13.8733545069466,0.0324563099167596,0.0459287404482447
"GENE013",-0.0408904921518355,13.9508765202882,0.0431318320170188,0.0599053222458595
"GENE020",-0.0368163665230572,13.4561551338338,0.0818486964360247,0.111611858776397
"GENE024",-0.0414064561720251,14.5225982002173,0.0960171063635239,0.118488399073934
"GENE050",-0.0417934496843862,14.6964014392173,0.0965292487684487,0.118488399073934
"GENE034",-0.0401062851607805,14.2026156037248,0.0981797819856978,0.118488399073934
"GENE070",-0.0417884417422136,14.6964014392173,0.0990036854663198,0.118488399073934
"GENE046",-0.0410847888980321,14.4705281546025,0.100574531359013,0.118488399073934
"GENE031",-0.0420134468042994,14.7397131242396,0.101265023771578,0.118488399073934
"GENE017",-0.0405876296724504,14.2651255231506,0.102741464320672,0.118488399073934
"GENE038",-0.0424056258577344,14.9134312855124,0.102825690622362,0.118488399073934
"GENE054",-0.0422493095740294,14.891627850012,0.103591041342387,0.118488399073934
"GENE066",-0.0427087879516431,15.0635119344171,0.104143435716186,0.118488399073934
"GENE042",-0.0424411117126603,14.9312897936145,0.104376942111814,0.118488399073934
"GENE057",-0.0400852817058965,14.2026156037248,0.105849636506048,0.118488399073934
"GENE073",-0.0400761152154764,14.2026156037248,0.109398342978981,0.120659937109171
"GENE048",-0.0322743486942331,12.92491106379,0.2249519372285,0.244512975248369
"GENE064",-0.0316535980791526,12.8516909636118,0.288660324630038,0.309278919246469
"GENE004",-0.0372914367000798,12.9922595683328,0.382777889508681,0.404342841030297
"GENE010",-0.0356112501096948,12.8494916689586,0.423341484833673,0.44098071336841
"GENE015",-0.0348083426842355,12.0680587872873,0.684185422134274,0.702930228220144
"GENE029",-0.0265160237278915,12.4170210334597,0.705274665977516,0.714805404706941
"GENE040",-0.020589666498999,12.075179739524,0.806410199084683,0.806410199084683
